purpose,subject,key,value
list_table,graph,subject,0
list_table,graph,created_at,0
list_table,graph,updated_at,0
list_table,graph,archived_at,0
list_table,dropdown,old_id,0
list_table,dropdown,subject,0
list_table,dropdown,name,0
list_table,dropdown,created_at,0
list_table,dropdown,updated_at,0
list_table,dropdown,archived_at,0
list_table,limit_display,created_at,0
list_table,limit_display,updated_at,0
list_table,data,subject,0
list_table,data,limit_id,0
list_table,data,nomhash,0
list_table,data,x_units,0
list_table,data,y_units,0
list_table,data,x_rescale,0
list_table,data,y_rescale,0
list_table,data,default_color,0
list_table,data,default_style,0
list_table,data,data_values,0
list_table,data,data,0
list_table,data,data_label,0
list_table,data,data_comment,0
list_table,data,data_reference,0
list_table,data,file_name,0
list_table,data,creator_id,0
list_table,data,date_of_run_start,0
list_table,data,date_of_run_end,0
list_table,data,date_of_announcement,0
list_table,data,date_official,0
list_table,data,rating,0
list_table,data,public,0
list_table,data,open,0
list_table,data,official,0
list_table,data,greatest_hit,0
list_table,data,created_at,0
list_table,data,updated_at,0
list_table,data,archived_at,0
list_table,data_display,subject,0
list_table,data_display,old_id,0
list_table,data_display,old_plot_id,0
list_table,data_display,limit_id,0
list_table,data_display,created_at,0
list_table,data_display,updated_at,0
list_table,data_display,archived_at,0
list_table,data_display,open,0
list_table,plot,subject,0
list_table,plot,old_id,0
list_table,plot,old_name,0
list_table,plot,old_user_id,0
list_table,plot,x_min,0
list_table,plot,x_max,0
list_table,plot,y_min,0
list_table,plot,y_max,0
list_table,plot,x_units,0
list_table,plot,y_units,0
list_table,plot,user_id,0
list_table,plot,created_at,0
list_table,plot,updated_at,0
list_table,plot,archived_at,0
list_table,plot,plot_png,0
list_table,plot,legend_png,0
list_table,plot,plot_eps,0
list_table,plot,legend_eps,0
list_table,plot,no_id,0
list_table,plot,open,0
list_table,ownership,subject,0
list_table,ownership,created_at,0
list_table,ownership,updated_at,0
list_table,ownership,archived_at,0
list_table,graph,id,1
list_table,graph,open,1
list_table,graph,parent_id,1
list_table,graph,key,1
list_table,graph,value,1
list_table,graph,value_datatype,1
list_table,dropdown,id,1
list_table,dropdown,dropdown_subject,1
list_table,dropdown,dropdown_display,1
list_table,dropdown,dropdown_value,1
list_table,dropdown,open,1
list_table,limit_display,id,1
list_table,limit_display,plot_id,1
list_table,limit_display,color,1
list_table,limit_display,style,1
list_table,data,id,1
list_table,data,experiment,1
list_table,data,spin_dependency,1
list_table,data,result_type,1
list_table,data,measurement_type,1
list_table,data,year,1
list_table,data_display,id,1
list_table,data_display,name,1
list_table,data_display,plot_id,1
list_table,data_display,color,1
list_table,data_display,style,1
list_table,data_display,data_id,1
list_table,plot,id,1
list_table,plot,name,1
list_table,ownership,id,1
list_table,ownership,user_id,1
list_table,ownership,class_name,1
list_table,ownership,class_id,1
